歌曲識別碼,歌曲名,歌曲名中譯,歌曲名英譯,語言,歌曲時長,YouTube 連結,發行日期,圖片,音檔,我的最愛,備註
144,RUSH,衝刺,RUSH,韓文,2:36,https://youtu.be/gw5uSSsHm6c,2024/2/23,,,,
145,NEW NEW,全新全新,NEW NEW,韓文,3:01,https://youtu.be/JqEEOtVtBO4,2024/2/23,,,,
146,BLOOM,綻放,BLOOM,韓文,3:23,https://youtu.be/paEyc77z3B4,2024/2/23,,,,
147,YOU GET ME,你理解我,YOU GET ME,韓文,2:33,https://youtu.be/GzmFNfvKSTY,2024/2/23,,,,
148,Strategy (feat. 梅根尤物),戰略,Strategy (feat. Megan Thee Stallion),韓文,3:22,https://youtu.be/DoPErQwgfg8,2024/12/6,,,,
149,Kiss My Troubles Away,親吻煩惱,Kiss My Troubles Away,韓文,2:54,https://youtu.be/mDQqhGH58P0,2024/12/6,,,,
150,Like It Like It,喜歡就喜歡,Like It Like It,韓文,3:03,https://youtu.be/Z-hpRjpFmmU,2024/12/6,,,,
151,Sweetest Obsession,最甜的執著,Sweetest Obsession,韓文,2:47,https://youtu.be/lcOz_NEUO0E,2024/12/6,,,,
152,Keeper,守護者,Keeper,韓文,2:36,https://youtu.be/K8oVsiuDlLA,2024/12/6,,,,
153,Magical,魔法,Magical,韓文,3:16,https://youtu.be/nxeUtKHTWYU,2024/12/6,,,,
154,Strategy,戰略,Strategy,韓文,2:47,https://youtu.be/nmbiBVPe5bY,2024/12/6,,,,
155,KNOCK KNOCK,敲敲,KNOCK KNOCK,韓文,3:15,https://youtu.be/mYBpyKEcAa8,2017/2/20,,,,
156,冰淇淋(녹아요 / Ice Cream),冰淇淋,Ice Cream,韓文,3:52,https://youtu.be/5gtUPYf70X4,2017/2/20,,,,
157,TT(티티),TT,TT,韓文,3:34,https://youtu.be/___h2czNhe0,2017/2/20,,,,
158,1 to 10,1到10,1 to 10,韓文,2:56,https://youtu.be/XSZhwW4K07I,2017/2/20,,,,
159,Ponytail,馬尾,Ponytail,韓文,3:27,https://youtu.be/YIDIc43DOLY,2017/2/20,,,,
160,Jelly Jelly,果凍果凍,Jelly Jelly,韓文,3:32,https://youtu.be/g0FH2lUFW_Q,2017/2/20,,,,
161,Pit-a-Pat,怦然心動,Pit-a-Pat,韓文,3:28,https://youtu.be/FCfDGlJwCsU,2017/2/20,,,,
162,Next Page,下一頁,Next Page,韓文,2:58,https://youtu.be/1VfRWz-m6uA,2017/2/20,,,,
163,One in a Million,百萬分之一,One in a Million,韓文,2:55,https://youtu.be/oValAHjD7hQ,2017/2/20,,,,
164,TT(TAK Remix)(CD Only),TT混音,TT (TAK Remix) (CD Only),韓文,3:34,https://youtu.be/pdEOg9a6M0U,2017/2/20,,,,
165,Like OOH-AHH(Inst.)(CD Only),像OOH-AHH一樣（伴奏）,Like OOH-AHH (Inst.) (CD Only),韓文,3:35,https://youtu.be/XYrXx_vEhBU,2017/2/20,,,,
166,CHEER UP(Inst.)(CD Only),加油（伴奏）,CHEER UP (Inst.) (CD Only),韓文,3:29,https://youtu.be/AIMu7QxBcO8,2017/2/20,,,,
167,TT(Inst.)(CD Only),TT（伴奏）,TT (Inst.) (CD Only),韓文,3:34,https://youtu.be/Yr80loldqcU,2017/2/20,,,,
168,Dance the Night Away,徹夜狂歡,Dance the Night Away,韓文,3:03,https://youtu.be/z7zNn7Piti0,2018/7/9,,,,
169,CHILLAX,放輕鬆,CHILLAX,韓文,3:07,https://youtu.be/EbudCUkXUrM,2018/7/9,,,,
170,Shot thru the heart,一箭穿心,Shot Thru the Heart,韓文,3:27,https://youtu.be/G0Rg1fOn9kk,2018/7/9,,,,
171,What is Love?,什麼是愛,What Is Love?,韓文,3:28,https://youtu.be/w4nihuYVTW0,2018/7/9,,,,
172,SWEET TALKER,甜言蜜語,SWEET TALKER,韓文,3:27,https://youtu.be/ViP0lunO1lE,2018/7/9,,,,
173,HO!,嗨,HO!,韓文,3:09,https://youtu.be/3pcCmShOGes,2018/7/9,,,,
174,DEJAVU,似曾相識,DEJAVU,韓文,3:16,https://youtu.be/87nIfxpuipk,2018/7/9,,,,
175,Say Yes,答應我,Say Yes,韓文,3:02,https://youtu.be/Zup7Y-tUSBs,2018/7/9,,,,
176,STUCK,卡住,STUCK,韓文,3:38,https://youtu.be/6Xm9Nzs06uE,2018/7/9,,,,
177,The Best Thing I Ever Did(올해 제일 잘한 일),我今年做得最好的事,The Best Thing I Ever Did,韓文,3:33,https://youtu.be/CfUGjK6gGgs,2018/12/12,,,,
178,Be as ONE (Korean ver.),合而為一,Be as ONE (Korean ver.),韓文,3:47,https://youtu.be/TzoDUWmFB5M,2018/12/12,,,,
179,ME+YOU,你加我,ME+YOU,韓文,2:55,https://youtu.be/AUoqoW7P3dg,2025/10/10,,,,
180,Meeeeee(娜璉),喵喵喵,Meeeeee (Nayeon),韓文,2:46,https://youtu.be/vnA8--MCU_A,2025/10/10,,,,
181,Fix A Drink(定延),修好一杯,Fix A Drink (Jeongyeon),韓文,2:58,https://youtu.be/1kFNJEIYSaY,2025/10/10,,,,
182,Move Like That(Momo),就這樣動,Move Like That (Momo),韓文,2:47,https://youtu.be/LkF528yaz9A,2025/10/10,,,,
183,Decaffeinated(Sana),低咖啡因,Decaffeinated (Sana),韓文,3:00,https://youtu.be/um6VLQEm500,2025/10/10,,,,
184,ATM(志效),提款機,ATM (Jihyo),韓文,3:36,https://youtu.be/WYMyJmm4IMc,2025/10/10,,,,
185,Stone Cold(Mina),冷若冰霜,Stone Cold (Mina),韓文,2:45,https://youtu.be/kOt4ekUkNvs,2025/10/10,,,,
186,Chess(多賢),西洋棋,Chess (Dahyun),韓文,2:29,https://youtu.be/7wlDQRd5lGU,2025/10/10,,,,
187,In My Room(彩瑛),我的房間,In My Room (Chaeyoung),韓文,2:49,https://youtu.be/5zrfR0-qwog,2025/10/10,,,,
188,Dive In(子瑜),潛入,Dive In (Tzuyu),韓文,2:44,https://youtu.be/TPHLwBBN00o,2025/10/10,,,,
189,CRY FOR ME,為我哭泣,CRY FOR ME,韓文,3:24,https://youtu.be/y0nVpR8DO7I,2020/12/18,,,,
190,I Love You More Than Anyone,比任何人都愛你,I Love You More Than Anyone,韓文,3:38,https://youtu.be/N-FgB3M8bm8,2021/7/9,,,,
191,I Love You More Than Anyone(Inst.),比任何人都愛你（伴奏）,I Love You More Than Anyone (Inst.),韓文,3:38,https://youtu.be/20_rKC8_b38,2021/7/9,,,,
192,POP!,爆米花,POP!,韓文,2:48,https://youtu.be/R9TPed_ohKM,2022/6/24,,,,
193,NO PROBLEM (Feat. Felix of Stray Kids),沒問題,NO PROBLEM (Feat. Felix of Stray Kids),韓文,3:16,https://youtu.be/9oelHREj8iI,2022/6/24,,,,
194,LOVE COUNTDOWN (Feat. Wonstein),愛情倒數,LOVE COUNTDOWN (Feat. Wonstein),韓文,3:17,https://youtu.be/D6KP4btz2eY,2022/6/24,,,,
195,CANDYFLOSS,棉花糖,CANDYFLOSS,韓文,3:01,https://youtu.be/mW3K34FWhV4,2022/6/24,,,,
196,ALL OR NOTHING,孤注一擲,ALL OR NOTHING,韓文,3:04,https://youtu.be/Qqgqp7GgSZQ,2022/6/24,,,,
197,HAPPY BIRTHDAY TO YOU,生日快樂,HAPPY BIRTHDAY TO YOU,韓文,3:05,https://youtu.be/EjtxTX_VjxE,2022/6/24,,,,
198,SUNSET,只有晚霞很美,Sunset Is Beautiful Alone,韓文,3:13,https://youtu.be/2vMJJiDu0Lk,2022/6/24,,,,
199,Killin' Me Good,殺死人了,Killin’ Me Good,韓文,3:05,https://youtu.be/bJ3WGDFznis,2023/8/18,,,,
200,Talkin' About It (feat. 24kGoldn),聊聊吧,Talkin’ About It (feat. 24kGoldn),韓文,2:50,https://youtu.be/t25WudUNmxc,2023/8/18,,,,
201,Closer,靠近一點,Closer,韓文,2:35,https://youtu.be/71c1dJBL-DU,2023/8/18,,,,
202,Wishing On You,許個願,Wishing On You,韓文,3:14,https://youtu.be/KljiEl5QOR4,2023/8/18,,,,
203,Don't Wanna Go Back (Duet with Heize),不想回頭,Don’t Wanna Go Back (Duet with Heize),韓文,3:42,https://youtu.be/I-Wy5TXUT_8,2023/8/18,,,,
204,Room,房間,Room,韓文,2:57,https://youtu.be/tyKgVy5OvnA,2023/8/18,,,,
205,Nightmare,惡夢,Nightmare,韓文,3:35,https://youtu.be/R-DmBt07M4o,2023/8/18,,,,
206,ABCD,ABCD,ABCD,韓文,2:42,https://youtu.be/4G30iKdqGeg,2024/6/14,,,,
207,Butterflies,蝴蝶,Butterflies,韓文,3:41,https://youtu.be/iLOJKRHmwI8,2024/6/14,,,,
208,Heaven (Feat. Sam Kim),天堂,Heaven (Feat. Sam Kim),韓文,3:06,https://youtu.be/0NAZ1W2uqcQ,2024/6/14,,,,
209,Magic (Feat. JULIE of KISS OF LIFE),魔法,Magic (Feat. JULIE of KISS OF LIFE),韓文,3:26,https://youtu.be/kCXZW5O5Ssg,2024/6/14,,,,
210,HalliGalli (Prod. by LEE CHANHYUK of AKMU),哈利加利,HalliGalli (Prod. by LEE CHANHYUK of AKMU),韓文,3:07,https://youtu.be/yUn77mh3A8Y,2024/6/14,,,,
211,Something,某些事,Something,韓文,3:07,https://youtu.be/b1BMabsFVlU,2024/6/14,,,,
212,Count It,數一數,Count It,韓文,3:14,https://youtu.be/bj8WoowibU0,2024/6/14,,,,
213,Run Away,逃跑吧,Run Away,韓文,3:18,https://youtu.be/YofelpFMWzg,2024/9/6,,,,
214,Heartbreak In Heaven (Feat. PENIEL of BTOB),天堂的心碎,Heartbreak In Heaven (Feat. PENIEL of BTOB),韓文,3:33,https://youtu.be/gLtEq5UtPvk,2024/9/6,,,,
215,Lazy Baby (Feat. pH-1),懶惰寶寶,Lazy Baby (Feat. pH-1),韓文,2:42,https://youtu.be/P4l5fihTCyk,2024/9/6,,,,
